,Name,Comment,stopword_comment,Hasil Sentimen
15,shiren nashiroh,"Kepada yth bapak presiden ku banyak yang terdampak pandemi pada buruh karyawan/karyawati yang di rumahkan ini semua bukan kehendak buruh pak namun itu semua karena keadaan, ribuan buruh berharap bisa dapat berpenghasilan kembali jika keadaan sudah normal kembali .#salam hangat pak presiden ku tercinta dari rakyat kecil mu.",yth presiden terdampak pandemi buruh karyawan karyawati rumahkan kehendak buruh keadan ribuan buruh berharap berpenghasilan keadan normal salam hangat presiden tercinta rakyat mu,Negatif
16,Mas Roni Official,Sah kan UU Cipta Kerja 💪💪,sah cipta kerja,Negatif
17,faras hasna faras,"Luar biasa, kami sungguh kagum atas kesungguhan Bapak Presiden untuk menciptakan Indonesia semakin maju.
Namun yang menjadi ragu, justru terletak pada implementasi nya, karena melihat fenomena dilapangan terjadi sebaliknya...
Sebaik apapun UU, PP, PERPRES, PERMEN, kalau tidak diikuti oleh Birokrasi yang baik tidak ada artinya apa apa ?
Contoh yang nyata..
Tanah ex. Belanda perseorangan yang telah kami kuasai dan tempati terus menerus tanpa terputus hampir satu abad, dengan dikawal secara ketat melalui UU, PP, PERMEN, telah tegas jaminan hukumnya...
Saya sudah berusaha berpuluh puluh tahun, dengan dukungan dokumen, fakta, data, yang akuratpun.. masih saja dihambat, justru diputar balikkan.. ITU NYATA DAN RIIL..
Maka dalam kesempatan ini kami mohon kepada Bapak Presiden, mohon berkenan dibongkar dan diurai kebenarannya...
Agar kami mempunyai keyakinan atas kesungguhan Bapak, dalam pengetrapan ...NYA
karena itulah selama ini yang terjadi, manakala Birokrasi yang memble, tetap tidak ada arti apa apa tentang UMNIBUS LAW, yang baik itu..
Salam
SUBAGYO
Mh. Thamrin 71 Bojonegoro",sunguh kagum kesunguhan presiden menciptakan indonesia maju ragu terletak implementasi fenomena dilapangan apapun p perpres permen dikuti birokrasi contoh nyata tanah mantan belanda perseorangan kuasai tempati menerus terputus abad dikawal ketat p permen jaminan hukumnya berusaha berpuluh puluh dukungan dokumen fakta data akuratpun dihambat diputar balikan nyata ril kesempatan mohon presiden mohon berkenan dibongkar diurai kebenaranya keyakinan kesunguhan pengetrapan nyakarena birokrasi memble arti umnibus law salamsubagyomh thamrin bojonegoro,Negatif
18,putra oku timur,"Bkin uu buat para koruptor pk,itu bru luar biasa...👍",bkin koruptor penjahat kelamin,Negatif
19,ssevia,"RUU ttg korupsi nya mana pak, 
harus adil dong",tg korupsi adil,Negatif
20,gobloku metu gobloku metu,Waalaikum salam pak sy punya kupedes bri masa ga dpt umkm pak,walaikum salam kupedes bri umkm,Negatif
21,Win Arto,"Ipda maruf amin,se",ipda maruf amin,Positif
22,Zap Bar,"Mending ngevlog aja di subcribe sama rakyat, duit ads-nya buat nutupin hutang nambahin anggaran jangan kalah ama artis",ngevlog subcribe rakyat uang ads menutupi hutang nambahin angaran kalah artis,Negatif
23,Indrayati Lestari,"Semua niat baik pemerintah harus didukung, yang suka demo bikin kerusuhan dan kerusakan harus ditindak",niat pemerintah didukung suka demo bikin kerusuhan kerusakan ditindak,Negatif
24,Iban Salda,Bingung.. Kalo Semua Hoax.. Jadi kenapa pake acara mute2 mic pas rapat DPR.. kan bisa didebat... Gakk puan gak pakde.. Sama2 membingungkan,bingung isu bohong pakai acara mute mic pas rapat dpr didebat puan pakde membingungkan,Negatif
25,ujak ari,"Roda kehidupan berputar.
Dilihat aja azab Tuhan untuk jokowi.
Balasan Tuhan untuk perusak tatanan hidup buruh.
Yg dibela jokowi para pengusaha.
Lihat laknat Tuhsn untuk jokowi.",roda kehidupan berputar azab tuhan jokowi balasan tuhan perusak tatanan hidup buruh dibela jokowi pengusaha lihat laknat tuhsn jokowi,Negatif
26,Musik Lirik Terjemahan Indonesia,Belajar bahasa inggir lewat lagu mampir channel gw!!,belajar bahasa ingir lagu mampir chanel,Negatif
27,Kutu Nyari Buku,bapak memang jago soal cari muka sama rakyat... selfi sama artis....kezoliman bapak sangat terasa ... AllaH maha tau apa yg bapak rencanakan dan yg di lakukan ...,jago cari muka rakyat selfi artis kezoliman allah maha rencanakan lakukan,Negatif
28,Rahmat Zikri 1,"Maka dari itu pemerintah harus terbuka dan memberi akses terkait halaman UUD Omnibus Law.. jika yg ada skrg ini banyak yg tumpang tindih,, wajar rakyat kontra pak🙏🙏🙏 terimakasih",pemerintah terbuka akses terkait halaman omnibus law tumpang tindih wajar rakyat kontra terimakasih,Negatif
29,Kim Gongju,"Buat yg comment koruptor hukum mati, rada susah sih, kenapa? Gini yah, 
Al kisah, tikus berdasi mencuri diladang dan rumah petani, suatu hari, ia ketahuan oleh petani, petani menangkap tikus berdasi dan memberinya ke anjing agar diberantas, namun, si anjing diam diam merawat tikus berdasi dan membantu menjaganya ketika mencuri dari petani, dengan mengibaskan ekornya, si anjing berharap, si tikus berdasi akan memberikan sedikit hasil curiannya agar ia bisa makan lebih banyak dari pada yang diberi petani, si tikus berdasi dan anjing tersebut pun hidup bahagia dengan saling bahu membahu mencuri dari petani~
End~
Gtu deh guys, miris (T‿T)",coment koruptor hukum mati rada susah yah al kisah tikus berdasi mencuri diladang rumah petani ketahuan petani petani menangkap tikus berdasi memberinya anjing diberantas si anjing diam diam merawat tikus berdasi membantu menjaganya mencuri petani mengibaskan ekornya si anjing berharap si tikus berdasi hasil curianya makan petani si tikus berdasi anjing hidup bahagia bahu membahu mencuri petani end gtu deh teman-teman miris,Negatif
30,ujak ari,"Pak jokowi menjadi manusia jahat dan hati nya kejam.
Azab Tuhan untuk mu",jokowi manusia jahat hati kejam azab tuhan mu,Negatif
31,Betrixpoli Poli,"Maju terus Pak Presiden dan Pak Prabowo..saya sebagai Rakyat Indonesia, sepenuhnya mendukung semua kebijakan Pemerintah  dan langkah2 Pak Prabowo dalam pembelian Alutsista TNI,tuk menjaga kedaulatan NKRI..👍👍",maju presiden prabowo rakyat indonesia sepenuhnya mendukung kebijakan pemerintah langkah prabowo pembelian alutsista tni tuk menjaga kedaulatan nkri,Negatif
32,M Rizki Santoso,Jadi permuda pembuat pt agar banyak yang bayar pajak,permuda pembuat pt bayar pajak,Negatif
33,Maton Gobel,Dri jaman bahela sampe saat ini mna ad pmrinth di sanjung awal  n doang hmmm pasti ujung ny di hina pd bissa bacot doang,jaman bahela sat mna pmrinth sanjung hm ujung ny hina bicara,Negatif
34,bahrul,"Mantap , pak presiden",mantap presiden,Positif
35,Amyo Mida,"Banyak orang pikiranya negativ sama pemerintah jokowi,kurang apa pa jokowii broow sertifikat tanah di kasih gratis listrik gratis ,,
 Jalan jalan sekarang mulus total ,kaga kaya jaman dulu,jalan desa kaya kolam ikan ,maju teruss pak jokowiku",orang pikiranya negativ pemerintah jokowi jokowi brow sertifikat tanah kasih gratis listrik gratis jalan jalan mulus total kaya jaman jalan desa kaya kolam ikan maju jokowiku,Positif
36,de javu,"90% msyarakat indonesia timur, mendukungmu pak presiden.",msyarakat indonesia timur mendukungmu presiden,Positif
37,Nunu Arya,Pemerintahan omongan'y kaya tukang obat yg suka bawa ular buat sulap😂,pemerintahan omongan kaya tukang obat suka bawa ular sulap,Negatif
38,joe permana,"49 rbu likes : 15 rbu dislike
Tetep ngeyel mau nolak kalian...",rbu likes rbu disliketetep ngeyel nolak,Negatif
39,Muhamad 1703,Masalah nya kenapa uang pesangon dan uang jasa karywan di hapus,uang pesangon uang jasa karywan hapus,Negatif
40,Asep Irwan,"Kecepatan 1,25 😂",kecepatan,Negatif
41,Risma Dwi Puspitasari,terima kasih pak sudah meluruskan kesalahpahaman yg sudah terjadi🙏,terima kasih meluruskan kesalahpahaman,Positif
42,TrendQuran Family,"Beli Qur'an ditemani adik
Yg cinta Qur'an kasi like!




Ini hanya pantun....
Tujuan utama kami membumikan Al-Quran agar muslim semakin muslim... Dukung kami jadi channel sedekah cukup dengan subkrib sj.",beli qur an ditemani adikyg cinta qur an kasi like pantun tujuan utama membumikan al quran muslim muslim dukung chanel sedekah subkrib,Negatif
43,Suci Firawati,"Kalau yg beredar di medsos hoax, kenapa belum/tidak diusut pelakunya?",beredar medsos isu bohong diusut pelakunya,Negatif
44,SatuRas4 empat,"Terlalu banyak Suudzon di Negri ini.. ayolahh.. kapan mau maju? Kepentingan bukan utk kaum buruh saja, ttp utk kaum angkatan kerja baru yg sampai saat ini masih pengangguran juga butuh!! 
Tdk ada perusahaan yg akan memecat semena² karyawan yg berskill, rajin, dan ulet!",sudzon negri ayolah maju kepentingan kaum buruh kaum angkatan kerja sat penganguran butuh perusahan memecat semena karyawan berskil rajin ulet,Negatif
45,majid narendra,kita butuhnya diskusi bukan keterangan,butuhnya diskusi keterangan,Positif
46,Teeis Giue,"Dilihat dari comment teman2 Yang  Percaya  sama gak percaya pemerintah, sama2 imbang 
Berarti uu cipta kerja pasti terlaksana, dan pemerintah punya pendukung lebih kuat.",coment teman percaya percaya pemerintah imbang cipta kerja terlaksana pemerintah pendukung kuat,Negatif
47,Ahmad Anwar,Bpk President NKRI semoga sehat. Saya berharap IBU KOTA pindah jangan sampai batal,presiden nkri semoga sehat berharap kota pindah batal,Positif
48,Muhammad Arif,"Tumben gak pake teks..
Ehh rupannya uda ada teks di balik layar 😂😂😪",tumben pakai teks eh teks layar,Negatif
49,GilangSat,Tonton Sampai habis..Jangan liat kometar dlu ya,tonton habis lihat kometar,Negatif
50,Akmal Niam Firdausi,Saya suka kolom komentar di video ini,suka kolom komentar video,Positif
51,Muhamad Maulana,Percuma di komen ga bakalan di liat,komen lihat,Negatif
52,no en,Jadi kerja seumur hidup enggak hoax dong sama aja,kerja seumur hidup engak isu bohong,Negatif
53,Elis Ramadhan,"Kalau semua nya tidak benar atau di bilang hoax, ngapain kau ganti undang undang nya, kenapa gak di sampaikan di publik sebelum di sah kan dan ngapain di kejar sampai tengah malam, berarti ada yg di sembunyikan alias punya niat ngibulin rakyat.",bilang isu bohong ganti undang undang publik sah kejar malam sembunyikan alias niat ngibulin rakyat,Negatif
54,Ertimur Revolia,"Semangat pak tolong hentikan para pericu yg mau merusak kedaulatan negara dg memanfaatkan momen demo uu cipta kerja untk menuai kerisuhan n hoax untk membuat masyarakat gk percaya sama pemerintah . 

Semagat pak aku selalu mendukungmu.",semangat tolong hentikan pericu merusak kedaulatan negara memanfatkan momen demo cipta kerja untk menuai kerisuhan isu bohong untk masyarakat percaya pemerintah semagat mendukungmu,Negatif
55,Hulmawiyah,Sehat selalu pak! Semoga segala niat baikmu segera terbayar! Semangat!😊,sehat semoga niat baikmu terbayar semangat,Positif
56,Irham Z harahap,Kasus korupsi hilang dari muka bumi,korupsi hilang muka bumi,Negatif
57,reza danie,Hhhaaaaahhhh kudu tak bengok ae su,bengok su,Negatif
58,#Analisa K,Presiden itu pemegang kekuasaan tertinggi. Bukan alat untuk melancarkan strategi para penjilat dan penghianat di negara ini... Semoga bapak senantiasa di berikan kesehatan dan suatu saat diberi hidayah untuk bersama rakyatnya khususnya rakyat kecil yg seharuanya mendapatkan perhatian dan perlindungan.,presiden pemegang kekuasan tertingi alat melancarkan strategi penjilat penghianat negara semoga senantiasa kesehatan sat hidayah rakyatnya rakyat seharuanya perhatian perlindungan,Negatif
59,Fierzahra Maula,"Koleh pengen biru cina , to yang baiknya , hukum mati para koruptor kayak negara cina",koleh biru cina to baiknya hukum mati koruptor kayak negara cina,Negatif
60,cekli streetfire,Ijeh kalah trending ambek smongko😂,ijeh kalah trend ambek smongko,Negatif
61,Muhammad alif Alviansyah,Siapa yg pokus ke komenan.  Dan ga menghirawkan yg ngomong di atas... 😅😅,pokus komenan menghirawkan bicara,Negatif
62,Mhd Lutfi,Dia yang joged gua yang malu.,joged malu,Negatif
63,Darwis Akbari,"""Kalau pemerintah sudah bilang hoaks ya hoaks kenapa membantah lagi""
Johnny G. Plate",pemerintah bilang hoaks hoaks membantah johny plate,Negatif
64,Tixa offc,Kl hoaks mngapa ada gubernur yg menolak,hoaks mngapa gubernur tolak,Negatif
65,Doni wahyu TV,Sekali kali kalo bikin RUU tu yg demo bukan rakyat tapi dpr nya sendiri bisa gk?.gak pernah kan dpr demo iyalah lu enak terus kapan demonya,kali bikin tu demo rakyat dpr dpr demo iyalah enak demonya,Negatif
66,Bang Rizky,Kamera setenbai pemain masuk 123 exsen,kamera setenbai pemain masuk exsen,Negatif
67,Rozak Riksen,Saya sangat setuju dengan pernyataan pak Ma'aruf Amin di Video ini...👍👏,setuju pernyatan ma aruf amin video,Positif
68,ErecX i,Udahkan President sendiri yang jelasin tpi msih bnyk yng percaya Hoax di internet trus diajak debat triak2 gk jelas wkkwkw,udahkan presiden jelasin msih percaya isu bohong internet diajak debat triak wkwkw,Negatif
69,ikin fals,Berlakukan uu cipta kerja pada semua  pns pak,berlakukan cipta kerja pns,Negatif
70,ARYA MERPATI PUTIH,Banyak orang bodoh pada kena hoax...jokowi the next sekjen pbb...#indonesia maju 2045,orang bodoh kena isu bohong jokowi the sekretaris jenderal pb indonesia maju,Negatif
71,Desy Ratna,Saya yakin fakta lapangan nya tak seindah yang bapak ucapkan. Hmmm,fakta lapangan seindah ucapkan hm,Negatif
72,Lilyanna Moonly,Luar biasa pak Jokowi.. We love you...,jokowi we love you,Positif
73,ale ale,Pak tolong sy warga jakarta jika memang betul  negara menyita harta keluarga cendana tolong uang ny dbangun rusun pk sy blom punya rumah ud sita aj semua jng pk kompromi politik lg rakyat jakarta banyak yg blom puny rumah sendiri pk,tolong warga jakarta negara menyita harta keluarga cendana tolong uang ny dbangun rumah susun penjahat kelamin blom rumah sita jng penjahat kelamin kompromi politik rakyat jakarta blom puny rumah penjahat kelamin,Negatif
74,budi brexit,takutlah karena kamu tdk amanah.kalo kamu rajin bikin hoaxx kelak matimu masuk surga  .......... tp hoaxx jg!,takutlah amanah rajin bikin isu bohong kelak matimu masuk surga isu bohong,Negatif
75,Faizal Edunangane,"Ciptakan undang undang anti korupsi .
Yang korupsi tembak mati siarkan di media televisi .
Yang setuju angkat tangan",ciptakan undang undang anti korupsi korupsi tembak mati siarkan media televisi setuju angkat tangan,Negatif
76,bocah gaming,"draftnya saja gk jelas ada banyak versi, tolol",draftnya versi tolol,Negatif
77,bunayya ajmala baiduri,"speed 1,5 baru pas",sped pas,Positif
78,luvies addicted,Itu yg katanya ayam masuk ke pekarangan org denda 10jt masuk UU ga ??! . Serius nanya . Soalnya drmh plihara ayam,ayam masuk pekarangan orang denda jt masuk serius drmh plihara ayam,Negatif
79,imran Electrik28,Yg setuju Para Koruptor di hukum mati angkat🖕🖕👆👆,setuju koruptor hukum mati angkat,Negatif
80,Zifara Azulfa Ramadhani,Presiden satu ini aneh...bukanya Rakyat Ayem...adanya kisruh...,presiden aneh bukanya rakyat ayem kisruh,Positif
81,Film horor film setan Johan Morgan channel horor,Bagi Aparat petugas perizinan  pegawai pemerintah daerah yg melakukan pungli harus di pecat dan di penjarakan setuju   ???,aparat petugas perizinan pegawai pemerintah daerah pungli pecat penjarakan setuju,Negatif
82,Film horor film setan Johan Morgan channel horor,Pak Presiden ..Saat ini aparat pemerintah yg suka pungli harus di tangkap dan dipenjarakan sudah di gaji rakyat di kasih jabatan masih malak dgn pungli u urusan izin.,presiden sat aparat pemerintah suka pungli tangkap dipenjarakan gaji rakyat kasih jabatan malak pungli urusan izin,Negatif
83,Elbi Afrizal,Drafnya belum selesai tp sudah disahkan. Ini jelas keliru dan menyimpang!,drafnya selesai disahkan keliru menyimpang,Negatif
84,JAKA SEMBUNG,"Indonesia hrs bangkit, dr pandemi & krisis ekonomi...",indonesia bangkit pandemi krisis ekonomi,Positif
85,Langgo Boom,"Tolong informasi Download Draff RUU Cipta Karya, Pakde dimana Yah? tolong Situsnya, Supaya kami tidak kebingunan HOAX.Nya dimana.",tolong informasi download draf cipta karya pakde dimana yah tolong situsnya kebingunan isu bohong dimana,Negatif
86,Januar Syamsi,Bikin uu tentang korupsi hukum mati,bikin korupsi hukum mati,Negatif
87,Antusias Art Isva aa_wibowo91@yahoo.com,Udah d baca?? Udah d pertimbangkan?? Udah d pelajari baik & buruknya??,baca pertimbangkan pelajari buruknya,Negatif
89,فليقل خيرا او ليصمت,"https://youtu.be/VzWVmiDIy7w

*Chanel Ngaji Gus Baha & Santri Syaikhuna Maemun Zubair*",ngaji gus baha santri syaikhuna maemun zubair,Negatif
90,Krisna Dharmawan,Sehat dan semangat selalu bapak 🙏,sehat semangat,Positif
91,Royal Matador 😎,"Itu yg dis like para kadrun yg sakit hati korban hoax.  
Dan di tunggangi.  😁",dis like kadrun sakit hati korban isu bohong tungangi,Negatif
92,oxsha julian,"Selamat buat pemerintahan bisa memperkecil penghasilan para buruh, mau gmn juga pasti tetap berjalan itu aturan. 
Nantinya setelah berjalan banyak dana nganggur sayang tuh kalo ga dimaksimalkan contohnya korupsi berjamaah.

#rakyat sudah biasa kelaparan",selamat pemerintahan memperkecil penghasilan buruh berjalan aturan berjalan dana ngangur sayang dimaksimalkan contohnya korupsi berjamah rakyat kelaparan,Negatif
93,Fauziah Official,Ke kalimantan hanya ngelonin itik se penting itukah pak sungguh lucu ada pak..😂😂😡😡,kalimantan ngelonin itik sunguh lucu,Positif
94,ANU Santanu,"mau komen, takut dicyduk UU ITE",komen takut dicyduk ite,Negatif
95,Azty Production,"Ciptakan  UUD Hukuman Mati Bagi yang Korupsi Uang Negara. Itu sangat penting . 
 #Bunuhpencuriuangnegara",ciptakan hukuman mati korupsi uang negara bunuhpencuriuangnegara,Negatif
96,Sisi 49,Sekarang sudah di jelaskan bpk presiden dan yg tidak suka bpk jokowi  berarti mereka krn gk bisa bebas koropsi.,presiden suka jokowi bebas koropsi,Positif
97,Lilis Lisawati,Ko kesel ya,ko kesal,Negatif
98,Tiara Amalia,"Karena pemerintah negara kita keras sama rakyatnya aja!! Coba sama Ketua nya juga keras2 terhadap, seperti DPR MPR presiden dll. Hukuman bagi para anggota dll untuk mempertanggung jawabkan kesalahan nya pasti ga akan ada yg berani membuat tindakan semena mena terhadap rakyat!! Giliran rakyat MENOLAK!!  KALIAN TIDAK BISA DI SEMENA MENAKAN!!  ALLAH HUAKBAR😢✊",pemerintah negara keras rakyatnya coba ketua keras dpr mpr presiden hukuman angota mempertangung jawabkan kesalahan berani tindakan semena mena rakyat giliran rakyat tolak semena menakan allah huakbar,Negatif
99,E.Y.P,Alaah budak partai PDIP partai korup.. itu ketua DPR siapa pak e yaa dari ente juga.. hancur indonesia,allah budak partai pdip partai korupsi ketua dpr ente hancur indonesia,Negatif
100,Hakim Jambak,Aku kesini hanya untuk dislike thank 😊,kesini dislike thank,Negatif
101,Rivandi Akbar,Kami tidak butuh pak . . ini sebenarnya kemauan Rakyat / Kemauan presiden?,butuh kemauan rakyat kemauan presiden,Negatif
102,Raic,"Sebenarnya kasihan sih sama pak Jokowi, kayaknya beliau aslinya ya pusing sekali. Tapi memang agak blunder sih disini. Kenapa RUU sepenting ini disyahkan seolah grusa grusu. Paling tidak sebarkan naskahnya dulu, atau undang perwakilan serikat buruh pasti ga ada kejadian seperti ini. Semoga indonesiaku bisa sembuh dari corona serta bisa hidup dan sejahtera seperti sedia kala, aamiin",kasihan jokowi kayaknya beliau aslinya pusing blunder sepenting disyahkan grusa grusu sebarkan naskahnya undang perwakilan serikat buruh kejadian semoga indonesiaku sembuh corona hidup sejahtera sedia amin,Negatif
103,Uchiha X,Siapa yg setuju yang korupsi tanganya di potong ???,setuju korupsi tanganya potong,Positif
104,Zehan Zeka,"Musuh Utama Negara itu koruptor , jadi kalau serius mau mensejahterakan Rakyat ya Bikin aturan koruptor mati atau sengsara seumur hidup.
Jika Koruptor tdk bisa di atasi, jangan harap rakyat akan sejahtera.",musuh utama negara koruptor serius mensejahterakan rakyat bikin aturan koruptor mati sengsara seumur hidup koruptor atasi harap rakyat sejahtera,Negatif
105,darysul ulum,inilah negara kita penuh dengan kebohongan,negara penuh kebohongan,Negatif
106,donny prasetyo,Kalau bandar narkoba aja bisa di hukum mati kenapa tidak dengan koruptor???????,"bandar narkotika, psikotropika, obat terlarang hukum mati koruptor",Negatif
107,Khalid,Hidup ini mengajarkan kita bahwa  yang terlihat buruk belum tentu buruk dan yang terlihat baik belum tentu baik.. -fisik bukan cerminan- 'hati seseorang',hidup mengajarkan buruk buruk fisik cerminan hati,Negatif
108,AF_gaming,Sehat selalu Pak Jokowi...,sehat jokowi,Positif
109,Agung Triyono,Apa susahnya sih bubarin dpr,susahnya bubarkan dpr,Negatif
110,Ismail hadi,"Percaya diri sama tak tau malu.. ""
Itu yg pantas di ucapkan untuk pemimpin kardus yg lahir d tengah malam.",percaya malu ucapkan pemimpin kardus lahir malam,Positif
111,Doal Ramah Lingkungan.,"Rakyatmu tindak ingin RUU cipta kerja di sahkan,Rakyat yg mempercayai bapak untuk menjadi pemimpin negara,ayolah dengarkan suara mereka,apa bapak/ibu penguni istana negara tidak malu di lihat negara tetangga? Lebih bijaksana lagi nggih pak :-)",rakyatmu tindak cipta kerja sahkan rakyat mempercayai pemimpin negara ayolah dengarkan suara penguni istana negara malu lihat negara tetanga bijaksana ngih,Negatif
112,ai Fatmawati,Pak keluar dong temuin yg demonya pak,temuin demonya,Negatif
113,Hendry Tetsuya,"Kalo memang utk meningkatkan lowongan kerja yg baru lulus agar dpt pkrjaan

Knpa pensiun seorang karyawan  dikurangi saja uumur
45 udah bs pensiun utk kruawan tetap",meningkatkan lowongan kerja lulus pkrjanknpa pensiun karyawan dikurangi umur pensiun kruawan,Negatif
114,Rusly Fire,mw komen ngeri di ciduk 😄😄,now watching komen seram ciduk,Negatif
115,Inne Makeup,"15.000 orang yg dislike adalah orang² yg ikut Demo, Penyebar Hoax, para penerka, dan para hatters pak Presiden. Semoga mereka di beri Pengampunan",orang dislike orang demo penyebar isu bohong penerka haters presiden semoga pengampunan,Positif
116,Yessy Amrina,Aku selalu dukung pakdhe. Tapi tolong yg korupsi dihukum seberat beratnya pak,dukung pakdhe tolong korupsi dihukum seberat beratnya,Negatif
117,rinaldi hardiansyah,"Aku doain para pejabat pemerintahan yang tidak jujur tidak bisa mencium bau surga, aamiin",doain pejabat pemerintahan jujur mencium bau surga amin,Negatif
118,Eduard Valentinus,Semangat Terus Pak presiden dan Para menteri. Tuhan berkati.,semangat presiden menteri tuhan berkati,Positif
119,Orang Awam,nasib petani kini terpuruk,nasib petani terpuruk,Negatif
120,Nenden Saniyah,Nunggu temennya Jokowi pas waktu kuliah  coment .....,nungu temenya jokowi pas kuliah coment,Positif
121,Budi Santoso,Siapa disini yg jengkel liat mukanya?,jengkel lihat mukanya,Negatif
122,M. AL HAFIZ,ya Allah pemimpinku sudah menunjukkan kuasanya... maka tunjukkanlah kuasaMu 🙏,allah pemimpinku menunjukan kuasanya tunjukanlah kuasamu,Positif
123,Budi Santoso,Hoaks kah undang undang cipta kerja????,hoaks kah undang undang cipta kerja,Positif
124,Novi Melinda,Koropsi pancong saja,koropsi pancong,Negatif
