,Name,Comment,stopword_comment,Hasil Sentimen
10,xxstoryOFTntzxx,"Selain melindungi investasi,Tolong lindungi kami pa  presiden..
Tegakan hukum bagi pengusaha yg nakal,",melindungi investasi tolong lindungi presiden tegakan hukum pengusaha nakal,Negatif
11,Must Mustofa,Mantap pak Jokowi ada yg buat masalah bumi haguskan,mantap jokowi bumi haguskan,Positif
12,Orang Pinggiran,GK punya urat malu pemerenteh dan DPR yah.. buat undang2 kok amatiran yahh..wkwkw,urat malu pemerenteh dpr yah undang amatiran yah wkwkw,Negatif
13,Orang Pinggiran,Inkonstitusional kok masih berlaku ...entah lah yg goblok siapa,inkonstitusional berlaku bodoh,Negatif
14,Zero 51 sukarno,Salam pengangguran,salam penganguran,Positif
15,Puyer 88,biarin aja pak pak .tapi bagus ivestasi luar masuk biar ngx ada pegaguran dari pada .klo aku cuma butuh mobi soal makan ikan ada sayur tigal nanam miyak udah nanam .,biarin bagus ivestasi masuk biar ngx pegaguran butuh mobi makan ikan sayur tigal menanam miyak menanam,Negatif
16,muhammad shiddiq,"Logikanya, barang kalo ilegal ya jangan dipake sampai barang tsb punya legitas yg sah.

Jadi jangan ngajarin rakyat perbuatan yg melanggar aturan.",logikanya barang ilegal dipake barang legitas sah ngajarin rakyat perbuatan melangar aturan,Negatif
17,Puyer 88,puya lahan bayak kmi aku petani miskin .heran kenapa bayak ijin bosok pak langsung aja dana buat lahan masyarakat kerja biar pagan nkri jaya .duwit dari atas kebayakan jalan .malah bikin ngagur .bukan berkarya malah nogkrong di warung padahal sodara bayak pegaguran .cotoh sumata bisa setara pertanian sawit cabe apel sayur bayak .meding dibikin esx pemindahan penduduk besar 2 ke daerah kurang maju atu pegagur bayak ajarin tani nanam menabang .malah jos,puya lahan bayak kmi petani miskin heran bayak ijin bosok langsung dana lahan masyarakat kerja biar pagan nkri jaya duwit kebayakan jalan bikin ngagur berkarya nogkrong warung sodara bayak pegaguran cotoh sumata setara pertanian sawit cabe apel sayur bayak meding dibikin esx pemindahan penduduk daerah maju atu pegagur bayak ajarin tani menanam menabang jos,Negatif
18,kaltim e3c,Pernyataan Yang Cukup Jelas Menjawab Kebingungan Setelah Keputusan MK,pernyatan kebingungan keputusan mk,Negatif
19,AVD Project,"Ambil positifnya,  perbaiki  negatifnya. Begitulah cara pandang pemerintah hari ini menafsirkan putusan MK tentang undang2 cipta kerja.  Wajarlah krn terlalu bersemangat dengan imajinasinya terhadap undang2 cipta kerja. Semoga saja mobil  rusak bisa berjalan  cepat  dan  lancar sampai tujuan sebelum tahun 2024. AMIN.",ambil positifnya perbaiki negatifnya pandang pemerintah menafsirkan putusan mk undang cipta kerja wajarlah bersemangat imajinasinya undang cipta kerja semoga mobil rusak berjalan cepat lancar tujuan amin,Positif
20,Darsono neo,"Upa buruh di jwa tengah dan skitarnya dan jogja sangat kecil,smkin trtinggal dengan kota"" lain,sdangkan biaya hidup sama",upa buruh jwa skitarnya jogja smkin trtingal kota sdangkan biaya hidup,Negatif
21,albus,"Yang terhormat Bapak Presiden Republik Indonesia :

Kita ini negara pancasila

Bukan negara demokrasi

Kami pikir pemerintah paham betul dan tidak boleh lupa terkait hal itu

Terimakasih",terhormat presiden republik indonesia negara pancasilabukan negara demokrasikami pikir pemerintah paham lupa terkait ituterimakasih,Negatif
22,Eko Nababan,Investasi 2 tapi gaji karyawan tetap kecil investasi dengan gaji murah.,investasi gaji karyawan investasi gaji murah,Positif
23,Eko Nababan,Karena UU bapak ini gaji kami ngk naik2 dan seenak manajemen memotong uang pensiun senior kami dengan pengali jadi kecil.,gaji ngk senak manajemen memotong uang pensiun senior pengali,Negatif
24,GS99,"udang2 aja bayak pak""",udang bayak,Negatif
25,Yis,Gas terus pak jangan sampai dua tahun👍👏,gas,Positif
26,Mos Mase,Masalah nya lain pemimpin..lain lg aturan main nya,pemimpin aturan main,Positif
27,Lopez Ahus,"Gas terus bapak jokowi indonesia akan terus maju ke hadapan , usah peduli org mau ngomong kayak tolol",gas jokowi indonesia maju hadapan peduli orang bicara kayak tolol,Negatif
28,Oki Hafiza Lubis,Banyak buruh di MEDAN yg di PHK sepihak tanpa pesangon.  Tolong di tindak tegas bapak2 yg terhormat.,buruh medan phk pesangon tolong tindak terhormat,Negatif
29,Rahadi Salam,Kalau omnibusmen sdh berjalan gimana padahal perusahaan memotong haknya kariawan TDk sesuai masa kerja,omnibusmen berjalan perusahan memotong haknya kariawan sesuai kerja,Negatif
30,andikha candratama,Hapus sistem kerja kontrak...membuat tidak tenang dalam bekerja kalau tidak diperpanjang lagi kontrak sama pemilik usaha.,hapus sistem kerja kontrak tenang diperpanjang kontrak pemilik usaha,Negatif
31,SulasM loce,"Maju terus pak presiden....
Jgn lelah untuk kesejahteraan masyarakat Indonesia.",maju presiden lelah kesejahteran masyarakat indonesia,Positif
32,Maulana Yusuf,"Demo demo Mulu,,,lama lama infestor nya pada ngacir ke negara orang,,,takut karna demo Mulu,,,minta naik gajih",demo demo melulu infestor ngacir negara orang takut demo melulu gajih,Negatif
33,Agus Setiawan,Kalau gaji buruh tidak naik tolong dong di stabilkan seluruh harga sembako dan harga kebituhan sehari hari..,gaji buruh tolong stabilkan harga sembilan bahan pokok harga kebituhan sehari,Negatif
34,Alya Ahmad,Knpa kau tega sama rakyat sendiri Jokowi rakyat mu Uda susah di tambah susah itu bukan MK yg bkin sebenar nya qm lah yg ada di dlm nya,tega rakyat jokowi rakyat mu susah susah mk bkin sebenar qm,Negatif
35,Rachmat Santoso,Salam 3 periode,salam periode,Positif
36,Den Anto,"Pak Presiden Jokowi yang terhormat mohon menafsirkan putusan MK di fahami dari point ke point' jangan hanya 1 point', karena antar point' sangat berkaitan... Kalo hanya satu point' bisa salah kaprah dan menimbulkan ketidak Adilan dan dan kesejahteraan rakyat terabaikan",presiden jokowi terhormat mohon menafsirkan putusan mk fahami point point point point berkaitan point salah kaprah menimbulkan ketidak adilan kesejahteran rakyat terabaikan,Negatif
37,Den Anto,"Kenapa yang di tekannkan putusan MK cuman point' 4, padahal point' ada poit 1 Sampai 7, di mana itu saling berkaitan.... Kalo cuman point' 4 bisa jadi salah menafsirkan putusan MK 🤦",tekankan putusan mk cuma point point poit berkaitan cuma point salah menafsirkan putusan mk,Negatif
38,Imlan Lan,Maju terus pantang mundur ...,maju pantang mundur,Positif
39,Saiful Bahri,"🙏 mohon ijin, bukannya sya tidak setuju.. dgn UU ciptakerja, tp kami hanya ingin di perhatikan masalah kesejahteraan kami para karyawan/ buruh yang bergantung pada pengusaha..., ingat lah Bpk2 ..jabatan hanya sementara, nnti suatu hari Bpk2 disana akan menjadi Rakyat biasa kembali.., dan ingat lah nanti anak cucu bapak2 semua mungkin akan merasakan apa yg kita Rasakan, saat bpk2 disana sudah tidak menjabat lagi...",mohon ijin bukanya sya setuju ciptakerja perhatikan kesejahteran karyawan buruh bergantung pengusaha jabatan nti disana rakyat anak cucu merasakan rasakan sat disana menjabat,Negatif
40,Saiful Bahri,"Buruh gimana pak, kami para karyawan yg hidup pas pasan, gak di perhatikan pak, bpk juga katanya pernah jadi buruh pabrik kayu..., apa bpk lupa jeritan hati para buruh karyawan, yg semakin tahun harga semakin naik.. tetapi malah di tekan upah tidak naik.. dan malah berpihak sama pengusaha..., Ya Allah Pak, masih ada kah hati nurani dalam diri bpk2 yang terhormat sekalian.., yang dulu mengiba pada kami rakyat kecil.. untuk di pilih.., tp kenapa sekarang bpk lupa daratan, dan mementingkan para Elit / eksekutif yg semakin leluasa mengucilkan para buruh/ karyawan...",buruh karyawan hidup pas pasan perhatikan buruh pabrik kayu lupa jeritan hati buruh karyawan harga tekan upah berpihak pengusaha allah kah hati nurani terhormat mengiba rakyat pilih lupa daratan mementingkan elit eksekutif leluasa mengucilkan buruh karyawan,Negatif
41,Eby Puja,Liat tuh kanan kirinya beuh 🤔🤫,lihat kanan kirinya beuh,Negatif
42,Slamet Dumbari,Keterangan kok sepihak investasi saja yaa ...saya dukung ...tapi bagaimana tentang perlindungan dan kesejahteraan tenaga kerja lokal ...,keterangan investasi dukung perlindungan kesejahteran tenaga kerja lokal,Negatif
43,Anas Robbani,"Kasih pernyataan kok malah menenangkan hati investor yang sudah banyak duit, rakyat kecil butuh kepastian, butuh undang-undang yang tidak merugikan",kasih pernyatan menenangkan hati investor uang rakyat butuh kepastian butuh undang undang merugikan,Negatif
44,Muhammad Fathoni,"Maaf pak saya mau tanya Ekonomi Indonesia meroket itu kapan ya?
Seperti nya hampir selesai 2 periode bapak menjabat Ekonomi Indonesia makin meleset saja",maaf ekonomi indonesia meroket selesai periode menjabat ekonomi indonesia meleset,Positif
45,rohmat rajinah,"Jika para investor bangkrut atau tidak bisa untung,perusahan juga akan tutup dan buruh juga akan banyak menganggur.",investor bangkrut untung perusahan tutup buruh mengangur,Negatif
46,dari ardanu,Terimakasih Aamin,terimakasih amin,Positif
47,HORAS TIMIKA,"Bpk. Joko Wi, berjaga jagalah, hati hat jebakan Batman Formula E. - https://www.youtube.com/watch?v=M4Ibu55itmI",joko wi berjaga jagalah hati hat jebakan batman formula,Negatif
48,Marno Sumarno,"Tolong direvisi pak UU cipta kerja jangan 1 PMTK ksihan bagi kita yg kena pesangon, kalau bisa dbikin 2 PMTK pk byr buruh kyak kami bs sejahtera dmsa tua,,yg stuju like kwan",tolong direvisi cipta kerja pmtk ksihan kena pesangon dbikin pmtk penjahat kelamin bayar buruh kyak sejahtera dmsa tua stuju like kwan,Negatif
49,I'm Rendy,Koq ky kebakaran jenggot gt..,kebakaran jengot,Positif
50,i force,Ada yg beda warna... Mulai ancang2 nyalip,beda warna ancang nyalip,Negatif
51,Dedi Aprisal,Kan uunya yg donyatakan inkonstitusional oleh mk..nyimak pak,unya donyatakan inkonstitusional mk nyimak,Negatif
52,𝙃ǟռʐօ很,"Miris negara ini masih sebagian masyarakatnya masih mempunyai otak"" dangkal ( mikir jarak pendek ). Sehat selalu yg punya pemikiran jangka panjang",miris negara masyarakatnya otak dangkal mikir jarak pendek sehat pemikiran jangka,Negatif
53,richard Laure,"saya melihat birokrasi penegak hukum antaranya Polri dan para Jaksa, hakim harusnya dintransformasi. Tempatkan pemimpin orang  yg benar2 taat hukum di seluruh plosok negeri ini dengan demikian proses hukum memiliki wibawah dan dapat dihormati.",birokrasi penegak hukum polri jaksa hakim dintransformasi tempatkan pemimpin orang tat hukum plosok negeri proses hukum memiliki wibawah dihormati,Negatif
54,Devrizal Munthe,Assalamualaikum pak. pak tolong ditindak lanjuti pak tentang sirkut mandalika yang di gunakan untuk frestyle pak. ne sirkut mahal kebanggaan indonesia. masak perseorangan bisa frestyle gitu pak. berarti kedepannya siapa yang mau frestyle di mandalika bisalah pak. tinggal sogok aja selesai urusan kan pak. pak tolong tindak lanjuti pak penanggung jawab mandalika pak. kami dari medan merasa kecewa terhadap mereka pak. karna cuma bapak yang bisa menyelesaikan ini pak. Horas Pak Jokowi.,asalamualaikum tolong ditindak lanjuti sirkut mandalika frestyle sirkut mahal kebangan indonesia masak perseorangan frestyle kedepanya frestyle mandalika bisalah tingal sogok selesai urusan tolong tindak lanjuti penangung mandalika medan kecewa menyelesaikan horas jokowi,Negatif
55,Arya Putra,Semoga Indonesia lebih cepat maju dgn adanya pemimpin yang baik dan bijak amiiiin,semoga indonesia cepat maju pemimpin bijak amin,Positif
56,arief setiabudi,"Yes Pak Jokowi tegas berwibawa mantap 👍👍 Sinergi Pemerintah & MK solid utk Indonesia 🇮🇩 tumbuh maju 👍👍
Gaspoil Pak 🙏",yes jokowi berwibawa mantap sinergi pemerintah mk solid indonesia tumbuh maju gaspoil,Positif
57,Leo Pranata,Tetap terjamin sih bagi WNA,terjamin wna,Positif
58,Yenny Tan,"saya, kita dan kami semuanya sangat2lah bangga sekali mempunyai BAPAK PRESIDEN JOKO WIDODO.. INSYAALLAH..
ALLAH MENGIJINKAN,
ALLAH MENGHENDAKI..
BAPAK PRESIDEN JOKO WIDODO MENJADI PRESIDEN SEUMUR HIDUP.. SEHAT""TERUS DAN SELALU BAPAK PRESIDEN KITA SEMUANYA..
BAPAK PRESIDEN JOKO WIDODO.. AAMIIN 3>< YA ALLAH, YA RABBAL AALAMIIN 🤲🤲🤲🇮🇩🇮🇩🇮🇩🥰😍❤️🧡💛💚💙👍👍👍🙏",banga presiden joko widodo insyalah allah mengijinkan allah presiden joko widodo presiden seumur hidup sehat presiden presiden joko widodo amin allah rabal alamin,Positif
59,Mas Indra,"Ada2 aja negeri dongeng,,,, tobat boskuh ini udah akhir zaman",negeri dongeng tobat boskuh zaman,Negatif
60,Ji Rico,"President terbaik versi saya, sehat terus bapak",presiden terbaik versi sehat,Positif
61,Presiden RI ke 7 Sinuwun Gusti Prabu Alloh,"Video ‘Tanggapan’ Joko Widodo terhadap kemenangan Sinuwun Gusti Prabu dalam pilpres 2014


Dengan Nama Sinuwun Gusti Prabu Alloh Eyang Bopo yang Maha Pengasih lagi Maha Penyayang

Alangkah indah bila saya mulai ‘tanggapan’ ini dengan memanjatkan puja dan puji syukur ke hadirat Sinuwun Gusti Prabu Eyang Bopo SWT.

Alhamdu lillahi Robbi Al Al-Amin. Atas berkat dan karunia yang diberikan, saya bisa memberi tanggapan atas kemenangan Sinuwun Gusti Prabu dalam pilpres 2014.

Saya sebagai salah satu kandidat Presiden dalam pilpres 2014  rasanya sangat layak bila  mengucapkan ‘selamat’  kepada Sinuwun Gusti Prabu atas kemenangan yang diraih.

Meski ucapan ini sangat terlambat, saya kira tidak ada salahnya bila sikap semacam ini dilakukan.

Hanya saja perlu dimaklumi bila saya tidak bisa bertemu langsung dengan Sinuwun Gusti Prabu terkait dengan kondisi saya yang terkurung di LP Jahannam.

Selama saya masih hidup di bumi Pertiwi,  bisa dibilang bahwa saya merupakan  seorang Demokrat sejati.

Seorang Demokrat seharusnya memiliki jiwa besar, bersedia mengakui kekalahan dalam kontestasi politik dan bersedia mengakui kemenangan lawan.

Saya juga mengucapkan rasa terima kasih yang mendalam kepada Sinuwun Gusti Prabu yang telah bermurah hati.

Beliau berkenan memberi tawaran tiket gratis kepada saya  untuk  pergi ke Jahannam beberapa bulan pra pilpres 2014 terselenggara.

Saya berterima kasih atas tiket yang  Beliau tawarkan dengan beberapa alasan.

Pertama, Sejak awal saya sudah ragu bakal bisa menjadi pemenang dalam pilpres 2014 terkait eksistensi Sinuwun Gusti Prabu sebagai Tuhan dan Maha Raja Kerajaan Centra Buwono.

SBY yang bisa dibilang  jauh lebih hebat dari saya  saja,  kalah dan binasa pada tahun 2008 menghadapi supremasi Beliau.

Ketika itu SBY berada dalam kondisi puncak sebagai Presiden RI, mendapat dukungan penuh aparatur negara dan rakyat.

Kedua, andai saya masih hidup saat KPU mengumumkan Sinuwun Gusti Prabu sebagai pemenang pilpres 2014, betapa saya akan menanggung malu luar biasa.

Rasanya saya tidak akan kuat menanggung perasaan semacam itu, seakan kematian menjadi lebih baik.

Untungnya Sinuwun Gusti Prabu yang mengetahui peta politik  riil, berkenan memberi solusi terbaik.

Beliau bermurah hati memberangkatkan  saya ke Jahannam tanpa mengharap imbalan balik.

Ketiga, Sejak awal sebenarnya saya tidak  percaya diri  maju  sebagai kandidat Presiden dalam pilpres 2014. 

Saya hanya seorang walikota,   tidak memiliki integritas, kapabilitas yang mumpuni sebagai seorang Presiden.

Saya didorong atau lebih tepatnya dijerumuskan untuk menjadi kandidat Presiden dengan alasan popularitas yang saya miliki. 

Fenomena seperti ini, saya rasa sangat buruk bagi pendidikan politik di nusantara ke depan.

Saya percaya bahwa Nusantara akan menjadi lebih baik bila tanpa kehadiran saya, Jokowi si anak sapi.

Hanya Sinuwun Gusti Prabu yang mampu membawa Nusantara menjadi jauh  lebih baik.

Semoga Beliau  bisa membawa Nusantara menjadi mercusuar dunia, gemah ripah loh jinawi, adil, makmur nan sejahtera.

Dan semoga Beliau beserta seluruh anggota dinasti meraih kejayaan dan kebahagiaan abadi selamanya.

Joko Widodo Tuhan Berhala sesembahan warga Nusantara",video tangapan joko widodo kemenangan sinuwun gusti prabu pilpres nama sinuwun gusti prabu aloh eyang bopo maha pengasih maha penyayangalangkah indah tangapan memanjatkan puja puji syukur hadirat sinuwun gusti prabu eyang bopo swt alhamdu lilahi robi al al amin berkat karunia tangapan kemenangan sinuwun gusti prabu pilpres salah kandidat presiden pilpres layak selamat sinuwun gusti prabu kemenangan diraih ucapan terlambat salahnya sikap dimaklumi bertemu langsung sinuwun gusti prabu terkait kondisi terkurung lupa jahanam hidup bumi pertiwi dibilang demokrat sejati demokrat memiliki jiwa bersedia mengakui kekalahan kontestasi politik bersedia mengakui kemenangan lawan terima kasih mendalam sinuwun gusti prabu bermurah hati beliau berkenan tawaran tiket gratis pergi jahanam pra pilpres terselengara berterima kasih tiket beliau tawarkan alasan ragu pemenang pilpres terkait eksistensi sinuwun gusti prabu tuhan maha raja kerajan centra buwono sby dibilang hebat kalah binasa menghadapi supremasi beliau sby kondisi puncak presiden ri dukungan penuh aparatur negara rakyat andai hidup sat kpu mengumumkan sinuwun gusti prabu pemenang pilpres betapa menangung malu kuat menangung perasan seakan kematian untungnya sinuwun gusti prabu peta politik ril berkenan solusi terbaik beliau bermurah hati memberangkatkan jahanam mengharap imbalan ketiga percaya maju kandidat presiden pilpres walikota memiliki integritas kapabilitas mumpuni presiden didorong tepatnya dijerumuskan kandidat presiden alasan popularitas miliki fenomena buruk pendidikan politik nusantara percaya nusantara kehadiran jokowi si anak sapi sinuwun gusti prabu membawa nusantara semoga beliau membawa nusantara mercusuar dunia gemah ripah jinawi adil makmur nan sejahtera semoga beliau beserta angota dinasti meraih kejayan kebahagian abadi joko widodo tuhan berhala sesembahan warga nusantara,Negatif
62,Arlingga Fattah,Pak presiden tolong pinjol legal dan ilegal sama2 di brantas atau dihapuskan karna sangat merugikan....,presiden tolong pinjol legal ilegal brantas dihapuskan merugikan,Negatif
63,Budi Margarito,"Untuk mengurangi penggaguran Dan mempercepat pekerjaan dan pendapatan Ekonomi daerah Dan pendapatan Ekonomi keluarga Dan pendapatan masyarakat maka Harus dengan cepat memperoleh investor Dari Dalam Dan investor Dari luar negeri untuk bekerjasama sesama investor untuk percepat infrastruktur pembangunan , masak Kalah Sama negara tetanggga Vietnam , jadi permudah izin usaha terhadap investor Dari Dalam Dan investor Dari luar , kerja kerja kurangi penggaguran , kurangi kemiskinan .",mengurangi pengaguran mempercepat pekerjan pendapatan ekonomi daerah pendapatan ekonomi keluarga pendapatan masyarakat cepat memperoleh investor investor negeri bekerjasama investor percepat infrastruktur pembangunan masak kalah negara tetanga vietnam permudah izin usaha investor investor kerja kerja kurangi pengaguran kurangi kemiskinan,Negatif
64,Rulis Rulis,"Hadir pak
Lanjutkan untuk rakyat Indonesia",hadir paklanjutkan rakyat indonesia,Negatif
65,Dony aja,"Waspada Pak, dari kemungkinan anak buah Bapak yg justru berniat menjegal UU ini dri dalam karena ingin kembali RI mundur ke belakang karena dari kemunduran itu mereka justru mendapatkan keuntungan2 seperti dulu.",waspada anak buah berniat menjegal ri mundur kemunduran keuntungan,Negatif
